date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202116,unknown,partially_vaccinated,0,0,157,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202116,unknown,unknown,2,42,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,female,fully_vaccinated,29,196,563126,5.15,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,female,partially_vaccinated,25,185,473593,5.28,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,female,not_vaccinated,78,1244,3319983,2.35,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,female,unknown,5733,71723,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,male,fully_vaccinated,19,140,442652,4.29,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,male,partially_vaccinated,24,162,418116,5.74,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,male,not_vaccinated,114,1549,3427310,3.33,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,male,unknown,5902,70791,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,unknown,fully_vaccinated,0,0,158,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,unknown,partially_vaccinated,0,0,208,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202117,unknown,unknown,1,43,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,female,fully_vaccinated,22,218,636652,3.46,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,female,partially_vaccinated,16,201,570654,2.8,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,female,not_vaccinated,88,1332,3149396,2.79,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,female,unknown,5063,76786,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,male,fully_vaccinated,14,154,506088,2.77,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,male,partially_vaccinated,23,185,508928,4.52,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,male,not_vaccinated,88,1637,3273062,2.69,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,male,unknown,5011,75802,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,unknown,fully_vaccinated,0,0,186,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,unknown,partially_vaccinated,0,0,279,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202118,unknown,unknown,4,47,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,female,fully_vaccinated,17,235,738342,2.3,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,female,partially_vaccinated,15,216,612672,2.45,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,female,not_vaccinated,64,1396,3005688,2.13,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,female,unknown,3829,80615,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,male,fully_vaccinated,9,163,595814,1.51,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,male,partially_vaccinated,11,196,563020,1.95,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,male,not_vaccinated,64,1701,3129244,2.05,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,male,unknown,3839,79641,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,unknown,fully_vaccinated,0,0,222,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,unknown,partially_vaccinated,0,0,315,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202119,unknown,unknown,5,52,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,female,fully_vaccinated,24,259,878335,2.73,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,female,partially_vaccinated,10,226,631249,1.58,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,female,not_vaccinated,64,1460,2847118,2.25,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,female,unknown,3621,84236,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,male,fully_vaccinated,15,178,721097,2.08,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,male,partially_vaccinated,13,209,598033,2.17,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
