date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202116,female,unknown,97,1409,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,male,fully_vaccinated,10,59,393367,2.54,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,male,partially_vaccinated,6,59,331365,1.81,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,male,not_vaccinated,150,1209,3563346,4.21,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,male,unknown,121,1734,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,unknown,fully_vaccinated,0,0,144,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,unknown,partially_vaccinated,0,0,157,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202116,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,female,fully_vaccinated,9,48,563126,1.6,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,female,partially_vaccinated,5,51,473593,1.06,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,female,not_vaccinated,101,1047,3319983,3.04,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,female,unknown,91,1500,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,male,fully_vaccinated,4,63,442652,0.9,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,male,partially_vaccinated,10,69,418116,2.39,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,male,not_vaccinated,156,1365,3427310,4.55,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,male,unknown,105,1839,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,unknown,fully_vaccinated,0,0,158,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,unknown,partially_vaccinated,0,0,208,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202117,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,female,fully_vaccinated,10,58,636652,1.57,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,female,partially_vaccinated,4,55,570654,0.7,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,female,not_vaccinated,83,1130,3149396,2.64,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,female,unknown,72,1572,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,male,fully_vaccinated,8,71,506088,1.58,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,male,partially_vaccinated,11,80,508928,2.16,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,male,not_vaccinated,120,1485,3273062,3.67,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,male,unknown,82,1921,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,unknown,fully_vaccinated,0,0,186,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,unknown,partially_vaccinated,0,0,279,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202118,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,female,fully_vaccinated,4,62,738342,0.54,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,female,partially_vaccinated,5,60,612672,0.82,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,female,not_vaccinated,66,1196,3005688,2.2,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,female,unknown,43,1615,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,male,fully_vaccinated,2,73,595814,0.34,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,male,partially_vaccinated,4,84,563020,0.71,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,male,not_vaccinated,81,1566,3129244,2.59,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,male,unknown,61,1982,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,unknown,fully_vaccinated,0,0,222,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,unknown,partially_vaccinated,0,0,315,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202119,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,female,fully_vaccinated,2,64,878335,0.23,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,female,partially_vaccinated,8,68,631249,1.27,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,female,not_vaccinated,76,1272,2847118,2.67,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,female,unknown,44,1659,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,male,fully_vaccinated,5,78,721097,0.69,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,male,partially_vaccinated,4,88,598033,0.67,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,male,not_vaccinated,86,1652,2968948,2.9,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,male,unknown,47,2029,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,unknown,fully_vaccinated,0,0,277,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,unknown,partially_vaccinated,0,0,332,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202120,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,female,fully_vaccinated,5,69,1022878,0.49,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,female,partially_vaccinated,2,70,628087,0.32,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,female,not_vaccinated,30,1302,2705737,1.11,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,female,unknown,26,1685,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,male,fully_vaccinated,8,86,851762,0.94,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,male,partially_vaccinated,3,91,620297,0.48,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,male,not_vaccinated,45,1697,2816019,1.6,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,male,unknown,33,2062,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,unknown,fully_vaccinated,0,0,342,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,unknown,partially_vaccinated,0,0,362,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202121,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
