date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-05-01,moderna,fully_vaccinated,0,29,498862,0,NA,0.29,0.06,0,15.18,7.62,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-02,moderna,fully_vaccinated,0,29,499256,0,NA,0.71,0.14,0,15.03,14.76,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-03,moderna,fully_vaccinated,0,29,504335,0,NA,0.57,0.11,0,14.57,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-04,moderna,fully_vaccinated,0,29,516336,0,NA,0.43,0.08,0,14.29,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-05,moderna,fully_vaccinated,3,32,530662,0.57,NA,0.43,0.08,50,15.31,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-06,moderna,fully_vaccinated,0,32,549045,0,NA,0.43,0.08,0,15.09,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-07,moderna,fully_vaccinated,0,32,567316,0,NA,0.43,0.08,0,15.02,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-08,moderna,fully_vaccinated,0,32,574051,0,NA,0.43,0.07,0,14.88,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-09,moderna,fully_vaccinated,0,32,576083,0,NA,0,0,0,14.61,0,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-10,moderna,fully_vaccinated,0,32,591445,0,NA,0.14,0.02,0,14.55,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-11,moderna,fully_vaccinated,0,32,611196,0,NA,0.14,0.02,0,14.41,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-12,moderna,fully_vaccinated,0,32,631991,0,NA,0.14,0.02,0,14.22,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-13,moderna,fully_vaccinated,1,33,638801,0.16,NA,0.29,0.05,33.33,14.47,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-14,moderna,fully_vaccinated,0,33,658629,0,NA,0.43,0.07,0,14.35,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-15,moderna,fully_vaccinated,0,33,667868,0,NA,0.57,0.09,NA,14.35,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-16,moderna,fully_vaccinated,1,34,669682,0.15,NA,0.86,0.13,100,14.72,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-17,moderna,fully_vaccinated,1,35,689789,0.14,NA,0.71,0.1,16.67,14.77,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-18,moderna,fully_vaccinated,1,36,714191,0.14,NA,0.71,0.1,16.67,14.81,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-19,moderna,fully_vaccinated,2,38,737808,0.27,NA,0.71,0.1,100,15.51,33.33,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-20,moderna,fully_vaccinated,0,38,767012,0,NA,0.57,0.07,0,15.45,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-21,moderna,fully_vaccinated,0,38,792066,0,NA,0.43,0.05,0,15.26,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-22,moderna,fully_vaccinated,0,38,803702,0,NA,0.29,0.04,0,15.2,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-23,moderna,fully_vaccinated,0,38,808205,0,NA,0,0,NA,15.2,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-24,moderna,fully_vaccinated,0,38,816909,0,NA,0.14,0.02,0,15.08,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-25,moderna,fully_vaccinated,0,38,842274,0,NA,0.14,0.02,0,14.96,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-26,moderna,fully_vaccinated,0,38,868752,0,NA,0.29,0.03,0,14.84,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-27,moderna,fully_vaccinated,1,39,897627,0.11,NA,0.29,0.03,25,15,17.86,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-28,moderna,fully_vaccinated,0,39,928344,0,NA,0.43,0.05,0,14.83,22.62,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-29,moderna,fully_vaccinated,1,40,944589,0.11,NA,0.57,0.06,100,15.15,36.9,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-30,moderna,fully_vaccinated,0,40,950568,0,NA,0.71,0.07,0,15.09,44.05,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-05-31,moderna,fully_vaccinated,1,41,974473,0.1,NA,0.57,0.06,33.33,15.3,40.48,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-01,moderna,fully_vaccinated,1,42,1003500,0.1,NA,0.71,0.07,100,15.61,45.24,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-02,moderna,fully_vaccinated,1,43,1036410,0.1,NA,0.57,0.05,50,15.87,30.95,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-03,moderna,fully_vaccinated,0,43,1068696,0,NA,0.57,0.05,0,15.81,30.95,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-04,moderna,fully_vaccinated,1,44,1106935,0.09,NA,0.43,0.04,33.33,16,26.19,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-05,moderna,fully_vaccinated,0,44,1125596,0,NA,0.29,0.03,0,15.88,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
