sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
unknown,ZG,202114,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-14,0,NA,NA,0
unknown,ZH,202114,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,28,24,4,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-14,0,NA,NA,0
male,AG,202115,557,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,20890,16113,4777,0.525,52.5,344733,161.57,6059.76,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-15,-26,-7.55,-4.5,3.5
male,AI,202115,6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,487,418,69,0.6,60,8303,72.26,5865.35,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-15,-2,-24.09,-25,-1.5
male,AR,202115,31,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1658,1357,301,0.525,52.5,27938,110.96,5934.57,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-15,4,14.32,14.8,4.300000000000004
male,BE,202115,642,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,28213,22988,5225,0.535,53.5,510170,125.84,5530.12,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-15,-4,-0.78,-0.6,2.700000000000003
male,BL,202115,225,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,7975,6172,1803,0.518,51.800000000000004,141890,158.57,5620.55,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-15,26,18.32,13.1,1.4000000000000057
male,BS,202115,158,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5682,4543,1139,0.498,49.8,94997,166.32,5981.24,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-15,33,34.74,26.4,3.799999999999997
male,FL,202115,42,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1409,1205,204,0.583,58.3,19215,218.58,7332.81,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-15,5,26.02,13.5,-0.3999999999999986
male,FR,202115,217,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,14053,11762,2291,0.478,47.8,161153,134.65,8720.28,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-15,33,20.47,17.9,-0.6000000000000014
