date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202107,0 - 9,not_vaccinated,2,18,877067,0.23,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,0 - 9,unknown,1,3,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,10 - 19,fully_vaccinated,0,0,625,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,10 - 19,partially_vaccinated,0,0,1302,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,10 - 19,not_vaccinated,3,8,846148,0.35,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,10 - 19,unknown,1,4,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,20 - 29,fully_vaccinated,0,0,5109,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,20 - 29,partially_vaccinated,0,0,8806,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,20 - 29,not_vaccinated,2,13,1035944,0.19,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,20 - 29,unknown,3,17,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,30 - 39,fully_vaccinated,0,0,8027,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,30 - 39,partially_vaccinated,0,0,13595,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,30 - 39,not_vaccinated,4,14,1212521,0.33,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,30 - 39,unknown,5,31,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,40 - 49,fully_vaccinated,0,0,10902,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,40 - 49,partially_vaccinated,0,1,18995,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,40 - 49,not_vaccinated,7,26,1173927,0.6,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,40 - 49,unknown,11,62,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
